key,chinese,translation
aiManagement.completionTokens,完了トークン,
aiManagement.estimatedCost,推定コスト,
aiManagement.dailyRequests,毎日リクエスト,
aiManagement.monthlyRequests,毎月リクエスト,
aiManagement.dailyCost,毎日コスト,
aiManagement.rateLimit,レート制限,
aiManagement.createQuota,クォータを作成,
aiManagement.editQuota,クォータを編集,
aiManagement.confirmDeleteQuota,このクォータを削除しますか？,
aiManagement.targetIdPlaceholder,グローバルクォータは空白のまま,
aiManagement.dailyRequestLimit,毎日リクエスト制限,
aiManagement.monthlyRequestLimit,毎月リクエスト制限,
aiManagement.dailyTokenLimit,1日のトークン制限,
aiManagement.monthlyTokenLimit,1ヶ月のトークン制限,
aiManagement.dailyCostLimit,毎日コスト制限,
aiManagement.monthlyCostLimit,毎月コスト制限,
aiManagement.rateLimitPerMinute,分あたりのレート制限,
aiManagement.rateLimitPerHour,時間あたりのレート制限,
aiManagement.quotaLimited,クォータ制限付き,
aiManagement.dailyRemainingRequests,毎日残りリクエスト,
aiManagement.monthlyRemainingRequests,毎月残りリクエスト,
aiManagement.dailyRemainingCost,毎日残りコスト,
aiManagement.todayCost,今日のコスト,
aiManagement.monthCost,今月のコスト,
aiManagement.projectedMonthlyCost,予測月間コスト,
aiManagement.costByModel,モデル別ののコスト統計,
aiManagement.costByProvider,プロバイダー別ののコスト統計,
aiManagement.usageStatistics,使用統計,
aiManagement.avgResponseTime,平均応答時間,
aiManagement.variables,変数,
aiManagement.recommendedModel,推奨モデル,
aiManagement.usageCount,使用回数,
aiManagement.createTemplate,テンプレートを作成,
aiManagement.editTemplate,テンプレートを編集,
aiManagement.confirmDeleteTemplate,このテンプレートを削除しますか？,
aiManagement.summarization,要約とまとめ,
aiManagement.translation,翻訳,
aiManagement.analysis,分析,
aiManagement.templateDetail,テンプレート詳細,
aiManagement.templateNamePlaceholder,例: 動画説明ジェネレーター,
aiManagement.templateDescriptionPlaceholder,このテンプレートの用途を説明,
aiManagement.promptTemplatePlaceholder,{変数}を含むプロンプトテンプレートを入力,
aiManagement.variablesTooltip,"カンマ区切りの変数名（例: title, description）",
aiManagement.exampleVariables,サンプル変数,
aiManagement.exampleVariablesTooltip,変数のサンプル値を含むJSONオブジェクト,
aiManagement.recommendedProvider,推奨プロバイダー,
aiManagement.recommendedParams,推奨パラメータ,
aiManagement.recommendedParamsTooltip,推奨モデルパラメータを含むJSONオブジェクト,
aiManagement.invalidExampleVariablesJson,無効なサンプル変数のJSONフォーマット,
aiManagement.invalidRecommendedParamsJson,無効な推奨パラメータのJSONフォーマット,
aiManagement.recommendations,推奨設定,
notifications.unread,未読,
notifications.read,既読,
notifications.unreadCount,{{count}} 件未読通知,
notifications.markAsRead,既読にする,
notifications.markAllAsRead,すべて既読にする,
notifications.markedAsRead,既読にしました,
notifications.deleteConfirm,この通知を削除しますか？,
systemHealth.title,システムヘルス監視,
systemHealth.subtitle,リアルタイムシステム監視とパフォーマンス指標,
systemHealth.autoRefresh,自動更新,
systemHealth.refreshInterval,更新間隔,
systemHealth.lastUpdated,最終更新,
systemHealth.healthy,正常,
systemHealth.degraded,低下,
systemHealth.unhealthy,異常,
systemHealth.warning,警告,
systemHealth.critical,重大,
systemHealth.unknown,不明,
systemHealth.tabs.overview,概要,
systemHealth.metrics.responseTime,応答時間,
systemHealth.metrics.checkedOut,使用,
systemHealth.metrics.available,利用可能,
systemHealth.metrics.poolUtilization,コネクションプール使用率,
systemHealth.metrics.usedMemory,使用済みメモリ,
systemHealth.metrics.maxMemory,最大メモリ,
systemHealth.metrics.memoryUtilization,メモリ使用率,
systemHealth.metrics.keysCount,キー数,
systemHealth.metrics.bucketExists,バケット存在,
systemHealth.metrics.readAccess,読み取り権限,
systemHealth.metrics.ok,正常,
systemHealth.metrics.limited,制限付き,
systemHealth.resources.cpuUsage,CPU使用率,
systemHealth.resources.memoryUsage,メモリ使用率,
systemHealth.resources.diskUsage,ディスク使用率,
systemHealth.resources.frequency,周波数,
systemHealth.resources.free,空き,
systemHealth.resources.unlimited,無制限,
systemHealth.network.title,ネットワーク統計,
systemHealth.network.dataSent,送信データ,
systemHealth.network.dataReceived,受信データ,
systemHealth.network.packetsSent,送信パケット,
systemHealth.network.packetsReceived,受信パケット,
systemHealth.network.dropsIn,受信パケット損失,
systemHealth.network.dropsOut,送信パケット損失,
systemHealth.trends.cpuTrend,CPU使用率トレンド,
systemHealth.trends.memoryTrend,メモリ使用率トレンド,
systemHealth.trends.diskTrend,ディスク使用率トレンド,
systemHealth.trends.dbResponseTime,データベース応答時間,
systemHealth.trends.redisResponseTime,Redis 応答時間,
systemHealth.trends.storageResponseTime,ストレージ応答時間,
systemHealth.status.issuesDetected,一部のサービスに問題が発生しています。下記の詳細をご覧ください。,
systemHealth.intervals.5seconds,5 秒,
systemHealth.intervals.10seconds,10 秒,
systemHealth.intervals.30seconds,30 秒,
systemHealth.intervals.1minute,1 分,
systemHealth.export.success,レポートエクスポート成功,
systemHealth.export.failed,レポートのエクスポートに失敗しました,
systemHealth.errors.loadFailed,システムヘルスの読み込みに失敗しました,
systemHealth.errors.unknownError,不明なエラー,
logs.operationLogs,操作ログ,
logs.totalLogs,合計ログ数,
logs.todayLogs,今日のログ,
logs.successRate,成功率,
logs.failureRate,失敗率,
logs.refresh,更新,
logs.search,検索,
logs.viewDetails,詳細を表示,
logs.details,詳細,
logs.close,閉じる,
logs.resolve,解決済みとしてマーク,
logs.resolved,解決済み,
logs.unresolved,未解決,
logs.batchResolve,一括解決,
logs.admin,管理者,
logs.description,説明,
logs.time,時間,
logs.createdAt,作成日時,
logs.success,成功,
logs.failed,失敗,
logs.blocked,ブロック済み,
logs.failureReason,失敗理由,
logs.location,位置情報,
logs.detailsInfo,詳細,
logs.resolvedBy,解決者,
logs.resolvedAt,解決時刻,
logs.addNotes,ノートを追加,
logs.notesPlaceholder,処理メモやコメントを追加...,
logs.selectModule,モジュールを選択,
logs.selectAction,アクションを選択,
logs.selectLevel,レベルを選択,
logs.searchPlaceholder,検索...,
logs.searchDescOrIp,説明またはIPアドレスで検索,
logs.searchUsernameOrEmail,ユーザー名またはメールで検索,
logs.searchEventOrMsg,イベントまたはメッセージで検索,
logs.searchErrorMsg,エラーメッセージで検索,
logs.dateRange,日付範囲,
logs.statisticsTitle,統計データ,
logs.last7Days,過去7日間,
logs.last24Hours,過去24時間,
logs.confirmResolve,解決済みとしてマークしますか？,
logs.resolveSuccess,マークに成功しました,
logs.resolveFailed,マークに失敗しました,
logs.exportFailed,エクスポートに失敗しました,
logs.total,合計,
logs.items,件,
logs.today,今日,
logs.last30Days,過去30日間,
logs.autoRefresh,自動更新,
email.addConfiguration,設定を追加,
email.addTemplate,追加テンプレート,
email.configDescription,設定の説明,
email.configInfo,設定情報,
email.configuration,メール設定,
email.description,説明,
email.editConfiguration,編集するConfiguration,
email.editTemplate,テンプレートを編集,
email.fromEmail,送信者メール,
email.fromName,From 名,
email.invalidEmail,メールフォーマット無効,
email.sendTestEmail,テストメールを送信,
email.slug,識別の子,
email.subject,件名,
email.templateName,Template 名,
email.testEmailFailed,テストメール送信失敗,
email.testEmailSent,テストメール送信済み,
email.variables,利用可能変数,
reports.behaviorStats,行動統計,
reports.description,説明,
reports.expired,期限切れ,
reports.expiringRate,有効期限切れ率,
reports.expiringSoon,まもなく期限切れ,
reports.newVIP,新規VIP,
reports.newVideos,新しい動画,
reports.timePeriod,期間,
reports.topVideos,トップ動画,
reports.totalComments,合計コメント,
reports.totalFavorites,合計お気に入り数,
reports.totalLikes,合計いいね数,
reports.totalUsers,合計ユーザー,
reports.totalVIP,合計VIP数,
reports.totalVideos,合計動画,
reports.totalViews,合計表示数,
reports.totalWatches,合計視聴数,
reports.videoTrend,動画トレンド,
reports.vipAnalysis,VIP分析,
reports.vipConversionRate,VIPコンバージョン率,
scheduling.addSchedule,スケジュールを追加,
scheduling.description,動画の予約公開とコンテンツスケジューリングを管理,
scheduling.editSchedule,編集するSchedule,
scheduling.enterVideoId,動画IDを入力してください,
scheduling.hintDescription,スケジュールされた動画は指定時刻にに自動公開されます,
scheduling.overdue,期限切れ,
scheduling.overdueAlert,期限切れリマインダー,
scheduling.overdueDescription,{{count}}件のスケジュールが期限切れ,
scheduling.pending,保留中,
scheduling.pendingScheduled,スケジュール待機中,
scheduling.publishFailed,公開に失敗しました,
scheduling.publishNow,今すぐ公開,
scheduling.publishOverdue,期限切れを公開,
scheduling.publishSuccess,公開に成功しました,
scheduling.published,公開済み,
scheduling.scheduleSuccess,スケジューリング作成成功,
scheduling.scheduledTime,スケジュール時刻,
scheduling.scheduledToday,今日公開,
scheduling.totalScheduled,合計スケジュール数,
scheduling.updateSuccess,更新に成功しました,
scheduling.upcoming24h,今後24時間,
scheduling.failed,失敗,
scheduling.expired,期限切れ,
scheduling.video,動画,
scheduling.announcement,お知らせ,
scheduling.recommendation,おすすめ枠,
scheduling.priority,優先度,
scheduling.recurrence,繰り返し,
scheduling.once,1回のみ,
scheduling.daily,毎日,
scheduling.weekly,週次,
scheduling.monthly,毎月,
scheduling.publishStrategy,公開Strategy,
scheduling.immediate,即座に公開,
scheduling.progressive,段階の,
scheduling.regional,地域別のタイミング,
scheduling.batchExecute,一括実行,
scheduling.searchPlaceholder,検索 title or description,
scheduling.endTime,終了時間,
scheduling.autoPublish,自動公開,
scheduling.autoExpire,自動オフライン,
scheduling.advancedSettings,詳細設定,
scheduling.basicInfo,基本情報,
scheduling.calendar,Calendar 表示,
scheduling.list,List 表示,
scheduling.history,履歴,
scheduling.templates,テンプレート管理,
scheduling.applyTemplate,適用 テンプレート,
scheduling.suggestedTime,Smart Suggested 時間,
scheduling.useSuggestedTime,Use Suggested 時間,
scheduling.based_on_historical_data,履歴データに基づく,
scheduling.historyTitle,アクション历史,
scheduling.actionCreated,作成d,
scheduling.actionPublished,公開済み,
scheduling.actionFailed,失敗,
scheduling.executedAt,実行時刻,
scheduling.executedBy,実行者,
scheduling.automatic,自動,
scheduling.manual,手動,
scheduling.executionTime,Execution 時間,
scheduling.milliseconds,ミリ秒,
scheduling.viewHistory,表示 History,
scheduling.execute,実行,
scheduling.forceExecute,強制実行,
scheduling.confirmExecute,確認 to execute このschedule?,
scheduling.executeSuccess,実行成功,
scheduling.executeFailed,実行失敗,
scheduling.templateName,Template 名,
scheduling.applySuccess,適用成功,
scheduling.sortByTime,並び替え by 時間,
scheduling.sortByPriority,並び替え by Priority,
scheduling.sortByCreated,並び替え by 作成d,
scheduling.dateRange,日付範囲,
scheduling.creator,作成人,
scheduling.statistics,統計データ,
scheduling.byStrategy,戦略別の,
auth.register,登録,
auth.forgotPassword,パスワードをお忘れですか？,
auth.rememberMe,記憶するユーザー名,
auth.loginSuccess,ログイン成功！リダイレクト中...,
auth.twoFactorAuth,二要素認証,
auth.enterTwoFactorCode,入力してください二要素認証コード,
auth.setup2FA,設定を開始 2FA,
auth.manualEntryKey,または手動入力キー：,
auth.enterVerificationCode,入力確認コードするため完了設定置：,
auth.verify,確認,
auth.complete,完了,
auth.pageTitle,動画 Site Admin Panel,
auth.captcha,確認コード,
auth.usernamePlaceholder,入力してくださいユーザー名,
auth.passwordPlaceholder,入力してくださいしたパスワード,
auth.captchaPlaceholder,入力してください4桁の確認コード,
auth.captchaLength,確認コードは4位文字,
auth.clickToRefresh,クリック更新確認コード,
auth.captchaLoading,読み込み...,
auth.verifying,確認...,
auth.backToLogin,戻る to Login,
auth.adminAccount,管理者,
auth.editorAccount,編集or,
auth.twoFactorDescription,入力してください身份確認器適用の6桁の確認コード,
auth.twoFactorBackupHint,または使用バックアップコード（フォーマット：XXXX-XXXX）,
auth.twoFactorPlaceholder,入力6桁の確認コードまたはバックアップコード,
auth.verifyEmail,確認メール,
auth.sendCode,送信確認コード,
auth.sending,送信...,
auth.resend,重新送信,
auth.codeSent,確認コード送信まであなたのメール，查收,
auth.codeResent,確認コード重新送信,
auth.enterCode,入力してください6桁の確認コード,
auth.newPassword,新しいパスワード,
auth.confirmPassword,確認 Password,
auth.newPasswordPlaceholder,入力してください新しいパスワード（少なくとも8位）,
auth.confirmPasswordPlaceholder,再入力新しいパスワード,
auth.resetSuccess,パスワードリセット成功！使用新しいパスワードログイン,
auth.confirmReset,確認 リセット,
auth.invalidCode,確認コードエラーまたは期限切れ,
auth.passwordMismatch,2回入力したパスワードが一致しません,
auth.weakPassword,弱い,
auth.mediumPassword,程度,
auth.strongPassword,強い,
auth.weak,弱い,
auth.medium,程度,
auth.strong,強い,
auth.codeExpires,有効期限15分，及时查收邮件,
auth.codeExpiry,有効期限15分，及时查收邮件,
auth.codeCanResendIn,秒后可重新送信,
auth.resendAfter,秒后可重新送信,
auth.emailSent,確認コード送信まで,
auth.codeSentTo,確認コード送信まで,
auth.codeSentSuccess,確認コード送信まであなたのメール，查收,
auth.twoFactorCodeRequired,入力してください確認コード,
auth.twoFactorCodeFormat,入力してください6桁の確認コードまたはバックアップコード（XXXX-XXXX）,
auth.captchaTimeout,確認コード加载タイムアウト，再試行してください,
auth.captchaLoadFailed,確認コード加载失敗，更新再試行,
auth.sendFailed,送信失敗，確認するくださいメールアドレス,
auth.emailNotConfigured,メールサービス未設定，連絡してください管理者,
auth.emailSendFailed,邮件送信失敗，後で再試行,
auth.resendFailed,送信失敗，後で再試行,
auth.codeInvalidOrExpired,確認コードエラーまたは期限切れ,
auth.accountDisabled,账户被無効,
auth.enter2FACode,入力してください二要素認証コード,
auth.loginFailed,ログイン失敗，確認するくださいユーザー名とパスワード,
auth.wrongCredentials,ユーザー名またはパスワードエラー,
auth.captchaInvalid,確認コードエラーまたは期限切れ,
auth.tooManyAttempts,ログイン試行回数が多すぎます，後で再试,
auth.networkError,ネットワーク接続失敗，確認するくださいネットワーク,
auth.sessionExpired,ログインセッション期限切れ，重新ログイン,
auth.twoFactorFailed,2FA確認失敗,
auth.twoFactorInvalid,確認コードエラー，再試行してください,
auth.emailRequired,メールアドレスを入力してください,
auth.emailInvalid,入力してください有効のメールアドレス,
auth.verificationCode,確認コード,
auth.codeRequired,入力してください確認コード,
auth.codeLength,確認コードは6位数字,
auth.codeDigitsOnly,確認コード必須はい6位数字,
auth.codePlaceholder,入力してください6桁の確認コード,
auth.seconds,秒,
auth.newPasswordRequired,入力してください新しいパスワード,
auth.passwordMinLength,パスワード長少なくとも8位,
auth.confirmPasswordRequired,確認新しいパスワード,
auth.previousStep,前へ Step,
auth.resetEmailDescription,入力してください您登録时使用のメールアドレス，我们将向您送信6位数字確認コード,
media.move,移動,
media.rename,名前変更,
media.delete,削除,
media.restore,復元,
media.permanentDelete,Permanent 削除,
media.recycleBin,ゴミ箱,
media.emptyRecycleBin,クリアゴミ箱,
